description,category
RENT TRANSFER RAHUL SHARMA,Rent
CREDIT CARD BILL PAYMENT,Credit Card Payment
GOIBIBO HOTEL BOOKING,Travel
WATER BILL BBMP,Utilities
CDM CASH DEPOSIT,Cash Deposit
CASH WDL BRANCH,Cash Withdrawal
INCOME TAX PAYMENT,Tax
HOUSE RENT ROHAN MEHTA UPI,Rent
SAVINGS INTEREST CREDIT,Interest
GST ON BANK CHARGES,Bank Charges
CC PAYMENT HDFC,Credit Card Payment
NETFLIX SUBSCRIPTION,Entertainment
FLIPKART ORDER PAYMENT,Shopping
CDM CASH DEPOSIT,Cash Deposit
GAS BILL INDANE,Utilities
SAVINGS INTEREST CREDIT,Interest
BOOKMYSHOW TICKET,Entertainment
MAKEMYTRIP FLIGHT BOOKING,Travel
BIGBASKET ORDER,Groceries
SWIGGY ORDER,Food & Dining
GAS BILL INDANE,Utilities
INSURANCE POLICY PREMIUM,Insurance
GST ON BANK CHARGES,Bank Charges
TRANSACTION REVERSAL,Refund
CASH WDL BRANCH,Cash Withdrawal
PAYROLL GLOBAL SOFT PVT LTD CREDIT,Salary
ATM CASH WITHDRAWAL,Cash Withdrawal
INTEREST CREDIT QUARTERLY,Interest
ZOMATO ORDER PAYMENT,Food & Dining
CC PAYMENT HDFC,Credit Card Payment
LIC PREMIUM PAYMENT,Insurance
NEFT SALARY INFOSYS LTD MAR,Salary
BROADBAND BILL ACT FIBERNET,Utilities
MEDPLUS PURCHASE,Healthcare
AMAZON REFUND CREDIT,Refund
MAKEMYTRIP FLIGHT BOOKING,Travel
RENT TRANSFER RAHUL SHARMA,Rent
INSURANCE POLICY PREMIUM,Insurance
ATM CASH WITHDRAWAL,Cash Withdrawal
UDEMY COURSE PAYMENT,Education
RENT PAID TO PRIYA PATEL,Rent
APOLLO PHARMACY BILL,Healthcare
GST ON BANK CHARGES,Bank Charges
CAR LOAN INSTALLMENT,Loan/EMI
GROWW INVESTMENT,Investment
SWIGGY ORDER,Food & Dining
BOOKMYSHOW TICKET,Entertainment
INSURANCE POLICY PREMIUM,Insurance
SALARY CREDIT INFOSYS LTD,Salary
SWIGGY ORDER,Food & Dining
SAVINGS INTEREST CREDIT,Interest
CASH WDL BRANCH,Cash Withdrawal
INTEREST CREDIT QUARTERLY,Interest
MAKEMYTRIP FLIGHT BOOKING,Travel
SERVICE CHARGE DEBIT,Bank Charges
INTEREST CREDIT QUARTERLY,Interest
IMPS FUND TRANSFER PRIYA PATEL,Transfer
HOUSE RENT PRIYA PATEL UPI,Rent
PVR CINEMAS,Entertainment
CC PAYMENT HDFC,Credit Card Payment
RELIANCE FRESH BILL,Groceries
CC PAYMENT HDFC,Credit Card Payment
UDEMY COURSE PAYMENT,Education
COLLEGE FEE ONLINE,Education
PAYROLL WIPRO LTD CREDIT,Salary
ORDER REFUND,Refund
SERVICE CHARGE DEBIT,Bank Charges
SWIGGY ORDER,Food & Dining
AMAZON PURCHASE,Shopping
INCOME TAX PAYMENT,Tax
GROFERS PAYMENT,Groceries
CC PAYMENT HDFC,Credit Card Payment
RENT PAID TO AMIT KUMAR,Rent
ADVANCE TAX PAYMENT,Tax
ADVANCE TAX PAYMENT,Tax
RENT PAID TO SNEHA REDDY,Rent
HOUSE RENT RAHUL SHARMA UPI,Rent
IMPS FUND TRANSFER PRIYA PATEL,Transfer
CC PAYMENT HDFC,Credit Card Payment
PERSONAL LOAN EMI PAYMENT,Loan/EMI
WATER BILL BBMP,Utilities
SAVINGS INTEREST CREDIT,Interest
PETROL PUMP HP,Transport
CASH DEPOSIT BRANCH,Cash Deposit
AMAZON PURCHASE,Shopping
SAVINGS INTEREST CREDIT,Interest
PERSONAL LOAN EMI PAYMENT,Loan/EMI
HOME LOAN EMI,Loan/EMI
ELECTRICITY BILL PAYMENT,Utilities
PVR CINEMAS,Entertainment
SPOTIFY PREMIUM,Entertainment
BROADBAND BILL ACT FIBERNET,Utilities
GROFERS PAYMENT,Groceries
UDEMY COURSE PAYMENT,Education
GOIBIBO HOTEL BOOKING,Travel
ADVANCE TAX PAYMENT,Tax
MEDPLUS PURCHASE,Healthcare
HOUSE RENT PRIYA PATEL UPI,Rent
MYNTRA SHOPPING,Shopping
ORDER REFUND,Refund
STARBUCKS COFFEE,Food & Dining
APOLLO PHARMACY BILL,Healthcare
CC PAYMENT HDFC,Credit Card Payment
BIGBASKET ORDER,Groceries
BROADBAND BILL ACT FIBERNET,Utilities
